,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK
153279,Coco Bambu - Dom Pastel,0,5,2018-7-1,2018-7-6,Excelente atendimento do garçom Eduardo e da metre Mônica. Ótima música e ambiente agradável. Recomendo!,Lanche ,Yara S
120794,Coco Bambu Brasília Shopping,0,4,2015-10-1,2015-11-30,"Ambiente aconchegante, com comida deliciosa! O Camarão Internacional, especialidade da casa, serve bem 4 pessoas. O preço pode parecer um pouco alto, mas é bem servido.",Excelente Comida,trsdt
15567,Coco Bambu Porto Alegre,0,5,2017-4-1,2017-4-20,"Fomos almoçar durante a semana, achamos perfeito em todos os sentidos. Ficamos surpresas com o valor, tem uma promoção que diversos pratos estão por 59,00 para duas pessoas, preço bem inferior ao que pagaríamos em restaurantes comuns. Comida dez, harmonização perfeita, camarões no ponto... Para...Mais",Excelente,Michelagoncalves
61882,Coco Bambu Frutos do Mar,1,5,2019-7-1,2019-7-7,"Atendimento do Sr. Teixeira, pedimos Camarão Internacional e Peixe a Delícia, e apesar do restaurante bem cheio, saiu em 25 minutos. Recomendo!",Jantar dos primos,Jorque
12625,Coco Bambu Iguatemi Fortaleza,0,5,2022-5-1,2022-5-9,"Atendimento incrível com comida e bebida de qualidade, além da atenção e dedicação de todos os colaboradores do restaurante em especial Joel! Onde atendeu super bem e nos indicou pratos incríveis.",Férias Fortaleza! Do Sul ao nordeste,688kathleenn
160476,Coco Bambu Meireles,0,5,2017-2-1,2017-2-16,"Restaurante muito aconchegante, com vários ambientes, todos bonitos. Bom atendimento. O pastel gigante é ótimo como entrada e para bater fotos. Todos os pratos Sāo bem servidos.",Ótimo,Marcia S
165690,Coco Bambu - Dom Pastel,0,5,2017-9-1,2017-9-16,"Tudo excelente! Fomos atendidos pelo João Paulo que foi muito atencioso. Comemos Camarões Mucuripe, pastel Dom Pastel e Cocada ao forno com sorvete. Recomendo!",Ótimo,michelesL3159VO
58539,Coco Bambu Recife,1,3,2019-3-1,2019-3-19,"Comida excelente, custo alto, mas entrega qualidade. Atendimento ficou bem a desejar na minha visita.",Boa experiência,victorltda
95458,Coco Bambu Lago Sul,0,4,2013-10-1,2014-1-21,"Ambiente agradável, vista muito bonita e preços razoáveis pois a maioria dos pratos servem duas pessoas. Recomendo.",Aniversário de família,MariaT767
13496,Coco Bambu Anália Franco,0,5,2017-12-1,2017-12-6,"O Rei do Trip, garçom Marlon. Excelente atendimento!!! Prato e sobremesa deliciosos. Com surpresa no final! Parabéns Coco Bambu por estar em 1° no trip!!",Comemorando aniversário de casamento no Coco Bambu,Paula P
28104,Coco Bambu Brasília Shopping,0,5,2015-12-1,2016-1-29,Ambiente maravilhoso. Atendimento perfeito e pratos variados e fartos que agradam o paladar e o bolso. Volto lá sempre que posso.,Excelente!,Maria Liège L
15624,Coco Bambu - Dom Pastel,0,5,2017-11-1,2017-11-11,"Estamos satisfeitos com o  atendimento  em geral,boa localização,a comida boa,o ambiente  bem climatizado . atendimento João Paulo  e Eduardo.",Aniversário ,wagner g
126960,Coco Bambu Frutos do Mar,2,3,2015-12-1,2015-12-4,"Hoje, fui a este restaurante, para a confraternização da turma de Pilates da Academia Personal Care. A comida servida, peixe, foi de péssima qualidade. O serviço estava bom e a carta de vinho bem variada. Que pena.",Qualidade que não se manteve,Francisco S
159442,Coco Bambu Anália Franco,1,5,2018-5-1,2018-5-28,"Lugar bacana, música boa, Comida boa! Atendimento de primeira pelo Marlon e Jadson! Chef Delexon! Voltaremos mais vezes com certeza!",Aniversário de Casamento,Denis Chequer A
142461,Coco Bambu JK,0,3,2017-10-1,2017-10-13,Espera mais. Ouvimos tanto falar do coco bambu. Que sonhei com um lugar de atendimento impecável e gastronômia maravilhosa. Minha beringela veio morna e não macia como deveria ser. A cocada foi a única coisa que me deixou feliz.,Jantar,Renata R
106372,Coco Bambu Porto Alegre,0,5,2021-4-1,2021-4-22,Comida ótima e atendimento melhor ainda. Atendimento Excelente do garçom Wandery.  Local para visitar constantemente.,Visita,peettrus
21069,Coco Bambu Santo André,12,4,2019-1-1,2019-1-31,"Estivemos no Coco Bambu pela primeira vez ontem, e o que vale ressaltar de cara é toda a beleza do local, o ambiente é lindo, muito bem organizado e confortável.  Percebe-se que se trata de um restaurante recém inaugurado, toda a equipe de atendimento foi...Mais",Experiência ótima. Ambiente encantador.,THIAGOGM82
14867,Coco Bambu Anália Franco,0,5,2017-3-1,2017-3-10,"Em quase todas as vezes que visitamos a casa, pedimos pratos com base de camarão, como o Mediterrâneo e o Tropical, e desta vez aceitamos a sugestão do garçom Rock e tivemos a grata surpresa com o Camarão ao Forno*, que acompanha risoto de limão...Mais",Sempre excelente!,CinthiaRaCosta
70754,Coco Bambu Frutos do Mar,0,5,2016-7-1,2016-10-3,"Sempre tive vontade de conhecer o restaurante, aproveitei minha passagem para fortaleza e fui, seimplesmente maravilhoso, comida, atendimento e custo beneficio. Por ser um restaurante bem conhecido imaginei que os preços fossem um pouco salgados e me enganei, pedimos um prato para 3 pessoas e...Mais",Maravilhoso,Adriane R
96402,Coco Bambu Frutos do Mar,0,5,2017-12-1,2017-12-8,Fomos muito bem atendido pelo garçom Wagner!! Nota 10!!! Comida muito bem temperada e servida. Valeu a visita!,Muito bom!!,Ana Claudia G
171824,Coco Bambu Anália Franco,0,5,2018-4-1,2018-4-21,"Ricardo Mombaça gente fina e super atencioso, com ótimas sugestões de pratos e preocupado com a excelência no atendimento.",Jantar,Vitor P
21341,Coco Bambu SP Market,1,5,2021-5-1,2021-5-22,"Música ambiente ao vivo com repertório agradável,.  A comida é excepcional e o ambiente muito agradável.  Possui espaço Kids","Jantar maravilhoso, qualidade que se mantém a cada visita. O bobó de camarão é formidável.",640robsonb
19265,Coco Bambu Market Place,0,5,2016-12-1,2016-12-8,"O restaurante é bem caro, mas porque é de alto nível. A comida é muito boa e vale o preço, pena que eu tenho alergia a camarão. Mas nada que um remédio não resolva depois.",Vale o preço ,denissonp954
111965,Coco Bambu Brasília Shopping,0,5,2016-8-1,2016-8-4,"As refeições, o ambiente e o atendimento no local melhoraram bastante. Percebi o olhar atento da gerência, porque ao reclamar de uma sobremesa, imediatamente me ofereceu - graciosamente - outra. Outro bom diferencial: há delivery de noite.","Muito bom, por isto sempre cheio.",Ricardopiresribeiro
118813,Coco Bambu Recife,0,5,2020-11-1,2020-11-21,"À começar pela recepcionista Andressa, que nos conduziu com muita gentileza até a mesa. Após, fomos surpreendidos pelo ótimo atendimento do Ricardo, uma figura! O prato estava excepcional.  Em suma, ótima comida e excelente atendimento. Voltamos e voltaremos.",Excelente comida e atendimento.,37667
55010,Coco Bambu JK,0,5,2016-10-1,2016-10-15,"Um dos melhores restaurantes que eu já tive a oportunidade de ir! Tudo perfeito! Atendimento super especial, decoração, público, música ao vivo em bom volume, comida maravilhosa  (fomos de Camarão Internacional), bebida top e a sobremesa fechou com chave de ouro ( cocada ao forno...Mais",Excelente! ,brendadulce
128708,Coco Bambu JK,0,4,2018-4-1,2018-6-18,"Comida boa, bebida boa, lugar bom, preço justo!  Espaço ideal para grandes grupos. Ideal reservar com antecedência.",30 anos amizades!,André J
73985,Coco Bambu Market Place,0,5,2017-5-1,2017-5-3,"Muito boa está unidade! Já conhecia a casa,mas está em especial tem uma excele te acústica! Garçons muito atenciosos e recepcionistas também! Peixe sofisticado,arroz e batata soute. Sobremesa cocada de forno com sorvete! Hummmm! Muito boa!","Simples apresentação,sabor sofisticado!",r_giag
51537,Coco Bambu Restaurante,0,5,2021-9-1,2021-9-28,"O atendimento foi excelente, garçons super atenciosos, principalmente o Boaz, que foi o responsável pelo nosso atendimento. Os pratos são ótimos e serviram muito bem a todos os convidados, a apresentação é excelente e o sabor é melhor ainda! A expectativa foi superada com pratos...Mais",Aniversário da Mirtes,BessasVictor
92304,Coco Bambu Lago Sul,0,4,2018-12-1,2019-6-5,"Local agradável, muito aconchegante e  ótimo atendimento comida boa com preço bom   bebida gelada e ambiente limpo",COMEMORAÇÃO DE NIVER,Cleonice O
128164,Coco Bambu Manaus,2,5,2017-8-1,2017-8-26,"Muito bom 👏 vale muito a pena fazer uma visita, indico o camarão internacional para quem ainda não conhece o lugar, esse prato é sensacional... serve 3 pessoas que come muito ou até 4 pessoas que comam normal.",Pontes,Marcos E
75465,Coco Bambu Anália Franco,0,5,2016-11-1,2017-10-2,"Ambiente em dois níveis. Frequento o nível superior, madeira de lei, meia luz que incide sobre as mesas. Não deixe de apreciar os camarões Jangadeiros e a Lagosta grelhada. Maravilhosos. Lugar ótimos para reunir família e amigos.",ambiente e comida ótimos,Mazelira
57527,Coco Bambu Lago Sul,0,5,2019-12-1,2019-12-8,"Restaurantes muito agradável , ambiente aconchegante e o garçom expedido , foi muito receptivo , atencioso , um garçom excelente. Muito obrigada pelo atendimento expedito",Elogio,257thalitar
157176,Coco Bambu SP Market,0,5,2019-6-1,2019-6-28,Garçom Wagner atencioso. Jantar delicioso!!! Diversas musicas ao vivo. Exelente lugar para qualquer ocasião,Jantar,Priscila C
45405,Coco Bambu SP Market,0,5,2021-2-1,2021-2-6,o garçom Marcos Abreu e nota 10000 recomendo a todos abraço bom atendimento atencioso uma pessoa extraordinário,Reunião entre amigos,X5398VGalinem
21685,Coco Bambu JK,0,5,2017-3-1,2017-9-6,"Pode fechar o olho e escolher qualquer item do cardápio (que mais parece um livro devido à infinidade de opções) que você não vai se arrepender. Absolutamente tudo, das pizzas à parmegiana passando pelos frutos do mar, tudo é simplesmente divino! Os preços são um...Mais","Ótimo, tudo de bom...",telmatiemi
147955,Coco Bambu Anália Franco,0,5,2018-3-1,2018-3-7,"Fomos bem atendidos pelo Ricardo Bombassa e pelo Charles gerente da casa, fizeram todo possível para que nossa noite fosse agradabilíssima e muito deliciosa com pratos excelentes! Com certeza vamos voltar!",Confraternizaçao,joycemN3513EE
186517,Coco Bambu Campinas,0,5,2017-12-1,2017-12-19,"Ambiente agradável, comida boa e atendimento bom. O garçom Welinton foi bastante atencioso. Ótimo lugar para um almoço com amigos!",Boa viagem,Maria Fernanda L
93908,Coco Bambu Frutos do Mar,0,4,2015-5-1,2015-5-20,"Restaurante mantem o mesmo nivel da confidant Das outras filiais que conheço ( São Paulo e Brasilia ).  O Serviço é bom mas não espere ter o padrão de atendimento de São Paulo, a vista do Mar compensa e ficar na varanda é mais agradavel...Mais",Qualidade e Variedade,594ulyssesc
144336,Coco Bambu SP Market,0,5,2018-11-1,2019-2-12,"Era um dia de semana, tínhamos reserva, então não foi difícil de sentar. Fomos muito bem atendidos! Recomendo!",Bom atendimento,marciamkw
155801,Coco Bambu Anália Franco,1,5,2017-10-1,2017-10-12,"Ambiente super aconchegante com um ótimo atendimento. Fomos atendidos pelo Charles e foi tudo simplesmente perfeito, a comida muito boa também, voltaremos mais vezes!",Comemorando 2 anos de namoro ,Beatriz A
172341,Coco Bambu Porto Alegre,0,5,2018-10-1,2019-3-7,"Lugar perfeito, ambiente impecável e atendimento muito bom. Sala de espera boa com atendimento dos funcionários e os pratos são excelentes!",Almoço ,Leocioato
95104,Coco Bambu - Dom Pastel,1,5,2022-2-1,2022-2-26,Muito bom! Garçom Cristian muito atencioso e prestativo. Pratos maravilhosos. Tudo perfeito. Recomendo muito.,Restaurante ótimo.,carlaaZ3645VP
189375,Coco Bambu - Dom Pastel,0,5,2018-6-1,2018-6-6,"Atendimento excelente. Viemos em um grupo de 8 e fomos atendidos pelo Eduardo que é muito gentil, simpático e solícito. A comida estava ótima como sempre.",Aniversário e formatura,anaclaradecampos
166264,Coco Bambu Botafogo Rio,0,5,2020-10-1,2020-10-21,"Ontem, eu e a minha família fomos pela segunda vez ao restaurante e dessa vez no Aniversário do meu irmão. Tivemos a grata surpresa de sermos presenteados com um atendimento excelente! A comida estava incrível e bem quente e (por ser o aniversário do meu...Mais","Segunda vez que vou, fomos tratados como reis e rainhas haha",renatacarios
103257,Coco Bambu JK,0,5,2018-9-1,2018-9-26,"Muito bom o atendimento Kot e Claudia A música é excelente, o cardápio com muitas opções. Adoro o restaurante e recomendo sempre! Nota 10!!❤️",Aniversario,Carla C
117271,Coco Bambu JK,0,5,2022-8-1,2022-8-1,"Foi incrível, sai daqui noiva ❤️ Obrigada Édson e seu Francisco por todo atendimento, ficamos plenamente satisfeitos ❤️Mais",Muito bom,D4978XWcamilav
16643,Coco Bambu Lago Sul,0,5,2017-11-1,2017-11-2,Local agradável..ñ conhecia ..sou nova na cidade e adorei..voltarei mas vezes sem dúvidas!! Atendidos pelo Moacir e andrade..pessoas agradaveis..prestativas é solicitas., Aniversário de cinara e lidia 😍,keillane aline C
183037,Coco Bambu - Dom Pastel,0,5,2017-12-1,2018-8-6,"realmente incrível, fantástico, não existe nada igual. recomendo muito maravilhoso, demais, 100%. realmente recomendadissimo","realmente incrível, fantástico, não existe nada igual. recomendo muito maravilhoso, demais, 100%.",Marcos C
173158,Coco Bambu Uberlândia,0,5,2021-7-1,2021-7-7,"Ótimo atendimento do Matheus Ribeiro, comida maravilhosa camarão coco Brasil, sobremesa maravilhosa, ótima qualidade",Happy birthday,palomarF129GO
81406,Coco Bambu Meireles,0,5,2021-8-1,2021-8-21,"Pizza excelente, atendimento perfeito, porém a música muito chata. E poderia ser menos de 100 caracteres para descrever isso.",Jantar,RiccardoS1715
136035,Coco Bambu Restaurante,0,5,2019-2-1,2019-2-24,Comida excelente e atendimento perfeito do garçom Anderson!! O maître José Luís visitou a mesa e nos deu atenção sobre cardápio!! Muito bom!,Formatura Thaisa,dinizrd
23274,Coco Bambu Restaurante,0,5,2019-10-1,2019-10-24,"Comida excelente, ambiente agradável e garçons (Hernandes e José Luis) muitíssimo hábeis. Recomendo muito!",Almoço,Mauricio J
50698,Coco Bambu Anália Franco,3,4,2020-2-1,2020-5-14,"Bom os drinks oferecidos no happy, porções boas porém com pouca, mas pouca quantidade, porém o preço é condizente a uma porção bem servida. Métri muito atencioso, porém os garçons nem tanto.",Rappy hour,cleberossi4646
65270,Coco Bambu São Luís,0,5,2018-6-1,2018-7-9,Ótimo lugar para comemorar aniversários! Sugestão: pudim! Por favor!! Prove o pudim!♥️ Possui sabor diferenciado e um bom custo.,Aniversários,Luana_Cantanhede
152144,Coco Bambu Sul Restaurante,0,5,2014-1-1,2014-1-21,"Os pratos de camarão são sensacionais. Independente de qual prato escolher, não vai se arrepender. O preço é um pouco elevado, mas vale cada centavo.",Um dos melhores restaurantes de Fortaleza,gerlylopes
107784,Coco Bambu Iguatemi Fortaleza,1,5,2021-1-1,2021-1-10,"Uma tarde muito agradável com a minha melhor amiga e no melhor lugar de Fortaleza e com o melhor garçom Elieser. Além de nos atender perfeitamente, ainda é um excelente fotógrafo.",Almoço das Amigas,B9094CRemanuelac
126809,Coco Bambu Manaus,0,5,2018-2-1,2018-2-11,Excelente atendimento dos garçons incluindo o garçom Senna que deu uma atenção todo especial.🦐🎉😋😋😋,Almoço ,Dayana S
140428,Coco Bambu Brasília Shopping,0,5,2018-3-1,2018-3-18,Acho que deu tudo certo. O atendimento foi bom e a comida estava em boa quantidade e gostosa :3. Recomendo,Foi massa,Pedro S
115209,Coco Bambu Market Place,0,4,2016-12-1,2016-12-21,O almoço estava mais uma vez maravilhoso.  Camarão com coco de entrada - fantástico.  Moqueca de camarão - fantástica sobremesa de cocada quente estava muito muito delicia!!,Almoço delicioso,EricaA1684
58017,Coco Bambu Lago Sul,0,4,2014-6-1,2014-9-1,"O ambiente é muito acolhedor. A comida é muito bem feita e as porções são bem generosas. O preço é acessível, mas é necessário fazer reserva, caso contrário terá que enfrentar uma longa fila de espera.",Ótimo lugar para comemorações,Gildenice2014
74125,Coco Bambu Frutos do Mar,0,5,2016-5-1,2016-5-18,"O Coco Bambu é um restaurante de qualidade, pratos servidos com bastante fartura e os preços são relativamente competitivos se dividirmos pelo número de pessoas que podem se servir com eles.",A melhor rede de restaurantes de frutos do mar que já conheci,Julio S
128072,Coco Bambu Lago Sul,0,5,2018-6-1,2018-6-4,"Camarão internacional, prato perfeito. Melhor Petit gateau de Brasília... Atendimento impecável, super recomendo!",Recomendado,Ana V
83749,Coco Bambu Meireles,1,5,2020-10-1,2020-10-20,"Atendimento da DÉBORA excelente, extremamente educada. Os pratos estavam shows, Camarao internacional e File coco bambu. 🥰",Aniversário de casamento,anacB434VH
134992,Coco Bambu Águas Claras,0,4,2017-7-1,2017-8-9,"Camarao internacional é o mais conhecido, mas o camarão mediterrâneo é o mais gostoso! O frapuccino também é maravilhoso! Nunca me arrependi de arriscar um prato diferente la. Ambiente lindo! Vive lotado,tem que chegar cedo aos finais de semana ou ir com disposição para espera",Uma delícia!,Larissa_VPA
41460,Coco Bambu Águas Claras,0,4,2021-5-1,2021-5-9,"O restaurante tem um cardápio variado de comidas e bebidas. Também possui cupons em seu próprio aplicativo o que deixa alguns pratos com um bom custo-beneficio. Infelizmente, o meu prato (camarão de Itamaracá) chegou após uma hora da realização do pedido. Mantenho a classificação de...Mais","Prato saboroso, mas demorado.",458felipet
110519,Coco Bambu Bahia,0,5,2015-12-1,2015-12-14,"Um dos melhores restaurantes de Salvador sem duvida. A fila de espera vale a pena. Comida boa, preço relativamente bom. Atendimento perfeito.",Sempre muito bom.,PabloLuizMartins
167272,Coco Bambu Porto Alegre,0,5,2017-10-1,2017-10-21,"Tudo maravilhoso atendimento nota 10 do seu Ari ,drinks perfeitos e porções bem servidas .Preco compatível.",Jantar romântico ,andreazilles
105929,Coco Bambu Porto Alegre,0,5,2018-8-1,2018-8-23,Local ótimo... pratos deliciosos e atendimento excelente do Jean e Moacir!! Vale muito a pena! Voltaremos sempre!,Jantar ,Camila C
108617,Coco Bambu Frutos do Mar,0,5,2018-9-1,2018-9-29,"Lugar agradável,  serviço impecável,  fomos atendidas pelo Maia, muito simpático,  sempre atento às nossas solicitações. Os pratos são super bem servidos e uma delícia.",Excelente,336susanae
166610,Coco Bambu JK,0,4,2015-4-1,2015-4-21,"O restaurante é muito agradável, espaçoso, o atendimento agradável, a comida boa e os preços razoáveis. As porções são generosas, podendo ser dividido por 2 ou até 3 pessoas. O Camarão ao curry e o Peixe crocante ao coco, pratos pedidos pelo nosso grupo, estavam...Mais",Almoço de Amigos,Miriam F
73725,Coco Bambu Conceito Barigui,0,5,2021-11-1,2021-11-10,"Além do ambiente e comida sempre impecáveis, quero deixar um elogio especial para a Fran e Bia que tornaram a nossa experiência melhor ainda. Muito atenciosas e queridas. Voltaremos em breve.Mais",Maravilhoso,Lilihey
96157,Coco Bambu Meireles,0,5,2013-11-1,2014-9-19,"Restaurante ótimo, aconchegante.. nem parece que estava na praia! Pratos deliciosos e boa aparência.",Ótimo!,MonielleMateo
142483,Coco Bambu Porto Alegre,0,5,2018-11-1,2018-11-28,"Lugar agradável, atendimento razoável, música boa e comida que segue o mesmo padrão dos outros restaurantes da rede Cocobambu. Sempre uma boa opção.",Padrão Cocobambu ,kyka_cm
179317,Coco Bambu Sul Restaurante,0,5,2018-9-1,2018-9-20,"Melhor local para uma boa janta, na cidade de Fortaleza!!! Bom atendimento e boa receptividade!! Garçom show",Top,GustavoC4366
145562,Coco Bambu JK,2,5,2017-2-1,2017-2-7,"Fomos jantar um sábado à noite. Grupo de seis pessoas. Fizemos reserva. O local é bem agradável, com iluminação suave e boa música. A comida é muito boa e o forte da casa são os pratos com camarão e frutos do mar. As porções são...Mais","Local muito agradável para jantar em grupo, comida de mar",SanchesA111
72361,Coco Bambu Sul Restaurante,1,5,2017-12-1,2017-12-22,"As instalações são excelentes, com amplos ambientes climatizados e varandas externas com temperatura ambiente. O cardápio é variado, com destaque para os pratos de camarão e frutos do mar.  De entrada, o pastel socadinho de camarão é imperdível. Muito bom também o couvert especial.  Os...Mais",TUDO MUITO BOM,Papis53
17087,Coco Bambu Ribeirao Preto,1,5,2019-9-1,2019-9-5,"Ótima comida, ambiente, atendimento excelente realizado pelo garçom Raynan, excelente opção para datas comemorativas.",Jantar em família,Macastro10
6689,Coco Bambu Campinas,0,5,2017-8-1,2017-8-31,"O restaurante fica no shopping iguatemi. O atendimento é ótimo e rápido, além de os garçons serem muito educados. O prato para três pessoas serve quatro, acredite kk. Recomendo, para quem não se importa de pagar pelo bom!",Excelente!,ragazzonir
75280,Coco Bambu Porto Alegre,0,5,2019-10-1,2019-10-2,"Pratos deliciosos!Restaurante muito aconchegante , e fomos muito bem atendidos pelo Cumim Diego ,muito atencioso e prestativo . Vamos retornar com certeza ! Recomendamos ..",Excelente atendimento,L5ri22a
174574,Coco Bambu Restaurante,0,5,2021-1-1,2021-1-26,"Os melhores pratos, sabor incomparável e o atendimento sensacional! Gabriel e Nádia, vocês são incríveis!",Melhor restaurante de BH!,rafaelo721
103761,Coco Bambu Conceito Vila Olímpia,0,5,2019-12-1,2019-12-28,"Nossa experiência foi maravilhosa no qual foram 4 casais. O serviço dos garçons foi ótimo, sempre dispostos, sem atrasos nos pedidos  e os pratos pedidos vieram saborosos e nos serviram muito bem. A bebida é bem servida tbm. Parabéns ao Lino e Ramon a frente...Mais",Jantar entre amigos,Kelvin_Maues
69894,Coco Bambu Lago Sul,0,4,2016-9-1,2016-9-26,"Pessoalmente, prefiro esse Coco Bambu às margens do Lago... O ambiente do restaurante é extremamente agradável e a vista muito aprazível!!!      Se lá estiver num dia de sol, de lua cheia ou na hora do por do sol....... poderá confirmar esta belíssima vista do Lago...Mais",O prazer de lá estar sempre é renovado a cada ida!!!,MGPAB
153225,Coco Bambu Floripa,1,5,2021-11-1,2021-11-14,"A comida estava ótimo, assim como a apresentação do prato. Drinks ótimos. O atendimento do garçom Mikael foi perfeito, extremamente atencioso e simpático!",Lugar maravilhoso e ótimo atendimento,gabrielacO741EB
158911,Coco Bambu Ribeirao Preto,0,5,2022-7-1,2022-7-1,Fomos muito bem atendidos pelo garçom Gustavo. Primeira vez que visitamos o Coco Bambu e adoramos. Prato principal ótimo e bolo de cortesia maravilhoso.,Aniversário,Denis Rafael S
148382,Coco Bambu - Dom Pastel,1,5,2019-8-1,2019-8-15,"Chegamos no início do atendimento, tudo pronto e organizado equipe unida com atendimento excelente. Atendimento realizado pelo Eduardo, obrigado por tirar nossas dúvidas. Show",Equipe 10,Trail496188
26699,Coco Bambu JK,0,4,2014-8-1,2014-8-20,Estive sabado 16/08 com minha familia e adoramos a nossa escolha para o sabado! pedimos de entrada o famoso camarão jangadeiro (foto em anexo) e foi a melhor pedida. como chegamos 12:20 nossa espera foi e menos de 10min para nos colocarem em uma mesa...Mais,Otima escolha para frutos do mar em SP,655kiliann
139801,Coco Bambu - Dom Pastel,0,5,2018-1-1,2018-1-2,"Ambiente sofisticado; comida boa e rápida, preço razoável; musica boa; ótimo atendimento do garçom Darley.",Jantar,thaisarakaki
19573,Coco Bambu Flamboyant,0,5,2016-2-1,2016-3-15,"Ótimo restaurante! Comidas deliciosas, funcionários atenciosos e cordiais! Qualquer prato vale a pena! Sempre uma boa opção! Recomendo!",Excelente!,Ana F
5445,Coco Bambu Brasília Shopping,2,5,2018-5-1,2018-5-3,"Excelente ambiente, boa comida, preço razoável, boa carta de vinhos. Música excelente e bom atendimento!","Boa comida, preço honesto!",lucianakramer
174544,Coco Bambu - Dom Pastel,1,5,2020-1-1,2020-1-4,"O Eduardo foi bastante atencioso, ótimo atendimento! A comida é deliciosa e caprichada, vale a visita.",Ótimo atendimento e pratos deliciosos,PolyanneMaximo
133300,Coco Bambu Flamboyant,0,5,2016-6-1,2016-7-29,"O Coco Bambu e sem duvida um ótimo restaurante para quem aprecia frutos do mar, todos os pratos de camarão são perfeitos!! E além disso também contam com pratos no cardápio que vão dos mais variados peixes a deliciosos filés como o Filé a Brasileira!!!",Perfeito Camarão mediterrâneo e Filé a Brasileira,Nalligia M
145781,Coco Bambu Anália Franco,0,5,2022-8-1,2022-8-1,"Excelente lugar, ambiente agradável e refeições excelentes. O atendimento do garçom Genival foi perfeito. Super recomendo.",Almoço de negocios,Julianafrancasantos
100149,Coco Bambu SP Market,1,5,2021-5-1,2021-5-16,"Atendimento nota 10 em especial aos  garçons  Marcos Dias e Edinho muito atencioso, educados e ágil.  Prato perfeito e saboroso.",Almoço,fialhom
77315,Coco Bambu Market Place,0,5,2022-4-1,2022-4-28,"Restaurante excelente, ótima opção para almoçar no trabalho. Fomos atendido pelo Barroso, que foi super gentil e atencioso!",Coco Bambu MKT Place,454kauef
164663,Coco Bambu Market Place,0,5,2021-6-1,2021-6-17,"Matheus Carvalho muito atencioso, simpático, música muito boa experiência muito boa! Obrigada pelo serviço e por proporcionar essa experiência maravilhosa para nós! Beijo grande! Nota 10!!!!",Happy our,J8406DOgabrielaf
155643,Coco Bambu Santo André,0,5,2019-3-1,2019-3-28,Adoramos os pratos e o atendimento . Obrigada Valdilei pelas indicações e atenção . Voltaremos com certeza .,Almoço,Érika A
160523,Coco Bambu JK,1,5,2013-9-1,2013-10-13,"Ja conheci a nova filial no Tatuape, e é sem duvida a melhor comida do nordeste em SP, recomendo a todos",Excelente!,Daniela P
131847,Coco Bambu Anhembi,0,5,2018-1-1,2018-1-20,"Muito bom, recomendo! Atendimento, comida, ambiente, música ao vivo! Top  Dinheiro bem gasto. Voltarei com certeza e levarei mais familiares...",Aniversário casamento ,Ricardo s
72980,Coco Bambu Uberlândia,1,4,2018-12-1,2019-1-16,"Ótimo restaurante. Atendimento muito bom e preço razóavel. Fui com amigos da empresa, mas quero levar minha familia para conhecerem. Parabéns.",Otimo Almoço,Luismar_Carvalho
80428,Coco Bambu Frutos do Mar,0,5,2018-3-1,2018-7-16,"Este restaurante é divino! Comida saborosa, sucos diversos, linda vista e bom atendimento! Tudo que o turista pode querer!",Lindo e Delicioso,viajantedescolada
110805,Coco Bambu Porto Alegre,0,4,2018-11-1,2018-12-8,"O ambiente e a comida são boas, o atendimento deixa a desejar, nem se compara ao nível do estabelecimento",Lugar bom,JonatasRauzer
6502,Coco Bambu Frutos do Mar,1,5,2015-8-1,2015-8-11,"Lugar excelente, garçons muito educados e atenciosos. Sentamos em uma mesa do lado de fora e estava um clima bem agradável.  Pratos exageradamente grandes com uma comida espetacular. Pedimos lagosta internacional. MARAVILHOSA... Daria para 4 pessoas fácil.  Volto com certeza...",Delicioso...,rodrigob414
183069,Coco Bambu Frutos do Mar,1,3,2020-12-1,2020-12-10,"Eu e minha familia, sempre que possível, costumamos comer no Coco Bambu por achar a comida muito boa, bem temperada, ingredintes selecionados e bom atendimento. ESQUECE TUDO QUE DISSE ACIMA. Dessa vez foi diferente, o camarão internacional veio com muito pouco camarão e muito arroz...Mais",Já foi melhor,Luiz Carlos C
174639,Coco Bambu Meireles,0,5,2018-8-1,2018-8-16,"Excelente ambiente com boa música ambiente, comida saborosa, bebida gelada e uma super variação de cardápio! Agradecemos aos garçons Aiume e Luciano pelo atendimento. Recomendamos!!!",Excelente atendimento e comida maravilhosa,polianne C
59510,Coco Bambu Campinas,0,5,2020-10-1,2020-10-5,Klylson e Dagma são os melhores atendimentos que eu já tive na minha experiência de Coco Bambu! Que todos atendentes tenham um aprendizado de como deixar um cliente feliz e satisfeito!!,Agradeço atendimento,Charbeld39
1726,Coco Bambu Anália Franco,0,5,2019-7-1,2019-7-1,Atendimento top do garçom Ricardo Mombasa Comemos o prato rede de pescador. Estava tido ótimo? Conforme esperado,Jantar maravilhoso!,AntonioG5048
182551,Coco Bambu Rio Norte Shopping,2,5,2021-10-1,2021-10-16,"Gostaria de avaliar positivamente o garçom Yan, o mesmo nos atendeu com muita presteza e atenção. Nota 1000.",Muito bom,Renato C
181075,Coco Bambu Lago Sul,1,5,2016-7-1,2016-7-7,Ambiente agradável e sem erro! Todos os pratos seguem um padrão então você sempre vai comer bem. Camarão ao coco é divino!!! Garçons atenciosos.,Certeza de pratos muito bons e atendimento excelente!,Maira M
